Standard_Name,Definition_Standard_Name,Reference_Definition_Standard_Name,Short_Name,Definition_Short_Name,Reference_Definition_Short_Name,Long_Name,Definition_Long_Name,Reference_Definition_Long_Name,Variable_Name,Definition_Variable_Name,Reference_Definition_Variable_Name,Project,,,,,,,Product,Extension,Product Origin,Product_code,Long Definition (Reference),,,z,,,Definition CF 1.6,Definition 'Glossary of Weather and Climate' 
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Lowest period radiation,Annual Lowest Period Radiation for each 0.01 degree grid cell of the Australian continent.,Dr. Bradley Evans,"Lowest period radiation: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual lowest period radiation for each 0.01 degree grid cell of the Australian continent. Modelled using eMAST-R-Package 2.0.,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,2 m instantaneous air temperature,Global,eWATCH,Tair_daily_WFDEI_DATE,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly Photosynthetically active radiation,Monthly Photosynthetically active radiation for the Australian continent.,Dr. Bradley Evans,"Photosynthetically active radiation: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly photosynthetically active radiation for the Australian continent. Modelled using eMAST-R-Package 2.0.,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual Photosynthetically active radiation,Annual Photosynthetically active radiation for the Australian continent.,Dr. Bradley Evans,"Photosynthetically active radiation: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual photosynthetically active radiation for the Australian continent. Modelled using eMAST-R-Package 2.0.,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Radiation of coldest quarter,Annual Radiation of Coldest Quarter for the Australian continent,Dr. Bradley Evans,"Radiation of coldest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual radiation of coldest quarter for the Australian continent. Coldest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is lower than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Radiation of driest quarter,Annual Radiation of Driest Quarter for the Australian continent,Dr. Bradley Evans,"Radiation of driest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual radiation of driest quarter for the Australian continent. Driest quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is lower than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Radiation of warmest quarter,Annual Radiation of Warmest Quarter for the Australian continent,Dr. Bradley Evans,"Radiation of warmest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual radiation of warmest quarter for the Australian continent. Warmest quarter is the set of 3 consecutive months for which the mean temperature over the selected period is higher than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Radiation of wettest quarter,Annual Radiation of Wettest Quarter for the Australian continent,Dr. Bradley Evans,"Radiation of wettest quarter: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual radiation of wettest quarter for the Australian continent. Wettest Quarter is the set of 3 consecutive months for which the sum of all precipitation over the selected period is higher than any other set of 3 consecutive months. Modelled using eMAST-R-Package 2.0,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly Radiation seasonality,Monthly Radiation Seasonality (Coefficient of Variation) for the Australian continent.,Dr. Bradley Evans,"Radiation seasonality (Coefficient of Variation): eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly radiation seasonality (Coefficient of Variation) for the Australian continent. Modelled using eMAST-R-Package 2.0.,,,,,,,,,,,,,,,,,,,,,,,
Radiation,"Radiation = (1) The process by which electromagnetic radiation is emitted or propagated through space by virtue of joint undulatory variations in the electric and magnetic fields. OR (2) The process by which energy is propagated through any medium by virtue of the wave motion of that medium, as in propagation of sound waves through the atmosphere or ocean waves along the water surface. OR (3) Same as radiant energy and electromagnetic radiation.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual Radiation seasonality,Annual Radiation Seasonality (Coefficient of Variation) for the Australian continent.,Dr. Bradley Evans,"Radiation seasonality (coefficient of variation): eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Annual radiation seasonality (coefficient of variation) for the Australian continent. Modelled using eMAST-R-Package 2.0.,,downwelling_longwave_radiance_in_air,"""longwave"" means longwave radiation. Downwelling radiation is radiation from above. It does not mean ""net downward"". Radiance is the radiative flux in a particular direction, per unit of solid angle. ",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Runoff,"Runoff = The water, derived from precipitation, that ultimately reaches stream channels as streamflow.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly accumulated downstream runoff,Monthly downstream accumulated runoff for the Australian continent between 1970 and 2012. The raw monthly gridded runoff values were converted to volumes in ML per month and resampled to 9 second resolution. ,"Prof. Michael Hutchinson, Australian National University, Canberra, Australia","Monthly accumulated downstream runoff: ANUClimate 1.0, 0.01 degree, Australian Coverage, 1970-2012","Monthly downstream accumulated runoff for the Australian continent between 1970-2012. The raw monthy gridded runoff values provided by eMAST_ANUClimate_mon_orof_v1m0_1970_2012 were converted to volumes in ML per month and resampled to 9 second resolution. These volumes were accumulated downstream according to the multiple flow direction grid associated with the GEODATA 9 second DEM version 3 (Hutchinson et al. 2008). The final outflow volume for each 0.01 degree grid cell, each consisting of sixteen 9 second grid cells, was then calculated by adding the accumulated downstream volume for each 9 second cell that had a flow direction out of the 0.01 grid cell. A full description of this analysis is in preparation.",,runoff_amount,"Amount means mass per unit area. Runoff is the liquid water which drains from land. If not specified, ""runoff"" refers to the sum of surface runoff and subsurface drainage.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Runoff,"Runoff = The water, derived from precipitation, that ultimately reaches stream channels as streamflow.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Annual accumulated downstream runoff,Annual downstream accumulated runoff for the Australian continent between 1970 and 2012. The raw annual gridded runoff values were converted to volumes in ML per year and resampled to 9 second resolution. ,"Prof. Michael Hutchinson, Australian National University, Canberra, Australia","Annual accumulated downstream runoff: ANUClimate 1.0, 0.01 degree, Australian Coverage, 1970-2012","Annual downstream accumulated runoff for the Australian continent between 1970-2012. The raw annual gridded runoff values provided by eMAST_ANUClimate_myr_orof_v1m0_1970_2012 were converted to volumes in ml per year and resampled to 9 second resolution. These volumes were accumulated downstream according to the multiple flow direction grid associated with the GEODATA 9 second DEM version 3 (Hutchinson et al. 2008). The final outflow volume for each 0.01 degree grid cell, each consisting of sixteen 9 second grid cells, was then calculated by adding the accumulated downstream volume for each 9 second cell that had a flow direction out of the 0.01 grid cell. A full description of this analysis is in preparation.",,runoff_amount,"Amount means mass per unit area. Runoff is the liquid water which drains from land. If not specified, ""runoff"" refers to the sum of surface runoff and subsurface drainage.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Runoff,"Runoff = The water, derived from precipitation, that ultimately reaches stream channels as streamflow.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Monthly runoff,"Monthly total accumulated runoff of each month for the Australian continent between 1970 and 2012. Monthly surface runoff is based on a single monthly water balance model incorporating rainfall, pan evaporation and national soil data.","Prof. Michael Hutchinson, Australian National University, Canberra, Australia","Monthly runoff: ANUClimate 1.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly runoff for the Australian continent between 1970-2012. The monthly surface runoff was modelled using a modified version of the two parameter XG monthly runoff model. The model was separately calibrated for each of ten meta-classes of a national ecohydrological environment classification (Pusey et al. 2009) using eMAST monthly precipitation and pan evaporation data and monthly streamflow data for 347 streamflow gauges . Raw monthly runoff grids were then calculated using the calibrated runoff model and input monthly precipitation and pan evaporation grids as provided by eMAST_ANUClimate_mon_prec_v1m0_1970_2012 and eMAST_ANUClimate_mon_evap_v1m0_1970_2012. These runoff grids were made consistent with the ecohydrological classification by resampling at 9 second resolution and reassembling at 0.01 degree resolution. The runoff outputs are in terms of mm per month for each grid cell. These outputs are accumulated downstream in eMAST_ANUClimate_mon_acrf_v1m0_1970_2012. A full description of these runoff grids is in preparation.,,runoff_amount,"Amount means mass per unit area. Runoff is the liquid water which drains from land. If not specified, ""runoff"" refers to the sum of surface runoff and subsurface drainage.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Runoff,"Runoff = The water, derived from precipitation, that ultimately reaches stream channels as streamflow.","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Overland runoff,Overland run-off for the Australian continent.,Dr. Bradley Evans,"Overland runoff: eMAST-R-Package 2.0, 0.01 degree, Australian Coverage, 1970-2012",Monthly overland run-off for the Australian continent. Modelled using eMAST-R-Package 2.0.,,runoff_amount,"Amount means mass per unit area. Runoff is the liquid water which drains from land. If not specified, ""runoff"" refers to the sum of surface runoff and subsurface drainage.",CF 1.6,eMAST,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",AMSR-E derived soil moisture,Daily top-layer (~ 0-2 cm) soil moisture derived from AMSR-E sensor aboard Aqua satellite. The daily product is generated for Australia using the just the and descending passes. The data are resampled using nearest neighbour resampling to 0.05 degree resolution for the whole country.,?,"AMSR-E derived daily soil moisture: 0.05 degree, Australian Coverage, 2002-2011","Daily top-layer (~ 0-2 cm) soil moisture derived from AMSR-E sensor aboard Aqua satellite. The data are from the VUA (Free University of Amsterdam) and derived using the Land Parameter Retrieval Model (LPRM) of Owe, M., R. de Jeu, and T. Holmes (2008), Multisensor historical climatology of satellite-derived global land surface moisture, J. Geophys. Res., 113, F01002, doi:10.1029/2007JF000769. The daily product is generated for Australia using the just the and descending passes. The data are resampled using nearest neighbour resampling to 0.05 degree resolution for the whole country.",,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,?,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",ASCAT derived soil moisture,Global top-layer (~0-2cm) soil moisture derived from ASCAT sensor aboard Metop-A.,?,"ASCAT derived daily soil moisture: 0.05 degree, Australian Coverage, 2007-2011","Daily top-layer (~ 0-2 cm) soil moisture derived from ASCAT sensor aboard Metop-A. The data are from the TUW (Technical University of Vienna) and derived using the time series approach of Wagner, Wolfgang; Lemoine, Guido; Rott, Helmut (1999): A method for estimating soil moisture from ERS scatterometer and soil data. Remote Sensing of Environment, 70(2), 191-207, doi:10.1016/S0034-4257(99)00036-X. The daily product is generated for Australia using the average of ascending and descending passes. The data are resampled using nearest neighbour resampling to 0.05 degree resolution for the whole country.",,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,?,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.","Daily root-zone soil moisture (0-1 m soil layer), 2.5th percentile of the ensemble of model estimates",Modelled top-layer soil moisture (0-10 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 2.5th percentile of the ensemble of model estimates. Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.,Dr. Luigi Renzullo,"Daily root-zone soil moisture (0-1 m soil layer), 2.5th percentile of the ensemble of model estimates: AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011 ","Modelled top-layer soil moisture (0-10 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 2.5th percentile of the ensemble of model estimates.  Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. The unit of measure is relative wetness (0-1, indicating 0 and 100% degree of saturation). ",,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,AWRA05,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.","Daily root-zone soil moisture (0-1 m soil layer), 50th percentile of the ensemble of model estimates",Modelled top-layer soil moisture (0-10 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 50th percentile of the ensemble of model estimates. Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.,Dr. Luigi Renzullo,"Daily root-zone soil moisture (0-1 m soil layer), 50th percentile of the ensemble of model estimates: AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011 ","Modelled top-layer soil moisture (0-10 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 50th percentile of the ensemble of model estimates.  Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. The unit of measure is relative wetness (0-1, indicating 0 and 100% degree of saturation). ",,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,AWRA05,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.","Daily root-zone soil moisture (0-1 m soil layer), 97.5th percentile of the ensemble of model estimates",Modelled top-layer soil moisture (0-10 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 97.5th percentile of the ensemble of model estimates. Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.,Dr. Luigi Renzullo,"Daily root-zone soil moisture (0-1 m soil layer), 97.5th percentile of the ensemble of model estimates: AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011 ","Modelled top-layer soil moisture (0-10 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 97.5th percentile of the ensemble of model estimates.  Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. The unit of measure is relative wetness (0-1, indicating 0 and 100% degree of saturation). ",,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,AWRA05,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.","Daily top layer soil moisture (~0-10 m soil layer) relative wetness, 2.5th percentile of the ensemble of model estimates",Modelled root-layer soil moisture (0-100 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 2.5th percentile of the ensemble of model estimates.  Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.,Dr. Luigi Renzullo,"Daily top layer soil moisture (~0-10 cm) relative wetness, 2.5th percentile of the ensemble of model estimates: AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011 ","Modelled root-layer soil moisture (0-100 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 2.5th percentile of the ensemble of model estimates.  Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. The unit of measure is relative wetness (0-1, indicating 0 and 100% degree of saturation). ",,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,AWRA05,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.","Daily top layer soil moisture (~0-10 m soil layer) relative wetness, 50th percentile of the ensemble of model estimates",Modelled root-layer soil moisture (0-100 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 50th percentile of the ensemble of model estimates.  Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.,Dr. Luigi Renzullo,"Daily top layer soil moisture (~0-10 cm) relative wetness, 50th percentile of the ensemble of model estimates: AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011 ","Modelled root-layer soil moisture (0-100 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 50th percentile of the ensemble of model estimates.  Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. The unit of measure is relative wetness (0-1, indicating 0 and 100% degree of saturation). ",,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,AWRA05,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.","Daily top layer soil moisture (~0-10 m soil layer) relative wetness, 97.5th percentile of the ensemble of model estimates",Modelled root-layer soil moisture (0-100 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 97.5th percentile of the ensemble of model estimates.  Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing.,Dr. Luigi Renzullo,"Daily top layer soil moisture (~0-10 cm) relative wetness, 97.5th percentile of the ensemble of model estimates: AWRA 0.5, 0.05 degree, Australian Coverage, 2000-2011 ","Modelled root-layer soil moisture (0-100 cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products: 97.5th percentile of the ensemble of model estimates.  Note that the data represents the mean of an ensemble of 100 modelled estimates for each data derived via perturbed meteorological forcing. Resolution of the output data is 0.05-degree for the whole country. The unit of measure is relative wetness (0-1, indicating 0 and 100% degree of saturation). ",,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,AWRA05,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Shallow-root-zone soil moisture,Modelled shallow root-zone soil moisture (0-30cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products.,Dr. Luigi Renzullo,?,?,,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,AWRA05,,,,,,,,,,,,,,,,,,
Soil moisture,"Soil moisture = Moisture contained in that portion of the soil that lies above the the water table, including the water vapor contained in soil pores. Sometimes it refers strictly to the humidity contained in the root zone of the plants. ","Glossary of Weather and Climate with Related Oceanic and Hydrologic Terms. 1996. Ira W. Geer (Ed.). American Meteorological Society. Boston, MA. 272pp.",Top-layer soil moisture,Modelled top-layer soil moisture (0-8cm) using the Australian Water Resources Assessment model via assimilation of satellite soil moisture products.,Dr. Luigi Renzullo,?,?,,soil_moisture_content,"""moisture"" means water in all phases contained in soil. ""Content"" indicates a quantity per unit area. The ""soil content"" of a quantity refers to the vertical integral from the surface down to the bottom of the soil model. ",CF 1.6,AWRA05,,,,,,,,,,,,,,,,,,
